___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/1/1 to 2025/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x19 | Sabrina Carpenter/Short N Sweet                                                              | 689 Minutes and 2 Seconds   |
| #2   | x17 | The Clash/The Clash                                                                          | 740 Minutes and 26 Seconds  |
| #3   | x14 | Pink Floyd/The Dark Side Of The Moon                                                         | 601 Minutes and 21 Seconds  |
| #4   | x14 | Rush/Moving Pictures                                                                         | 561 Minutes and 52 Seconds  |
| #5   | x8  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 404 Minutes and 0 Seconds   |
| #6   | x7  | The Killers/Pressure Machine                                                                 | 359 Minutes and 34 Seconds  |
| #7   | x7  | King Crimson/In The Court Of The Crimson King                                                | 307 Minutes and 21 Seconds  |
| #8   | x7  | Billy Joel/52Nd Street                                                                       | 283 Minutes and 18 Seconds  |
| #9   | x7  | Yes/90125                                                                                    | 313 Minutes and 12 Seconds  |
| #10  | x5  | Pink Floyd/Wish You Were Here                                                                | 221 Minutes and 12 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x5  | The Grateful Dead/Workingmans Dead                                                           | 179 Minutes and 22 Seconds  |
| #12  | x5  | Prince And The Revolution/Purple Rain                                                        | 219 Minutes and 20 Seconds  |
| #13  | x5  | Joy Division/Closer                                                                          | 221 Minutes and 38 Seconds  |
| #14  | x5  | Nine Inch Nails/Broken                                                                       | 158 Minutes and 1 Seconds   |
| #15  | x5  | Nine Inch Nails/Hesitation Marks                                                             | 309 Minutes and 46 Seconds  |
| #16  | x5  | Filter/Short Bus                                                                             | 230 Minutes and 14 Seconds  |
| #17  | x4  | Nine Inch Nails/With Teeth                                                                   | 224 Minutes and 24 Seconds  |
| #18  | x4  | Led Zeppelin/Houses Of The Holy                                                              | 163 Minutes and 34 Seconds  |
| #19  | x4  | Alice In Chains/Black Gives Way To Blue                                                      | 217 Minutes and 10 Seconds  |
| #20  | x4  | Nine Inch Nails/Add Violence                                                                 | 109 Minutes and 0 Seconds   |
| #21  | x4  | Nine Inch Nails/Pretty Hate Machine                                                          | 195 Minutes and 8 Seconds   |
| #22  | x4  | Rammstein/Herzeleid                                                                          | 198 Minutes and 13 Seconds  |
| #23  | x3  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 105 Minutes and 6 Seconds   |
| #24  | x3  | Frederic Chopin/Nocturnes                                                                    | 202 Minutes and 57 Seconds  |
| #25  | x3  | The Police/Synchronicity                                                                     | 133 Minutes and 25 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Supertramp/Breakfast In America                                                              | 138 Minutes and 2 Seconds   |
| #27  | x3  | Van Halen/Diver Down                                                                         | 94 Minutes and 28 Seconds   |
| #28  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 134 Minutes and 30 Seconds  |
| #28  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 127 Minutes and 50 Seconds  |
| #29  | x3  | The Rembrandts/Lp                                                                            | 186 Minutes and 36 Seconds  |
